IID	T2D_PRS	Relative_PRS_Group
HG02078	-2521.5326999999993	Intermediate
HG02079	-2522.494000000001	Intermediate
HG02081	-2520.3921000000005	Intermediate
HG02082	-2521.5781000000006	Intermediate
HG02084	-2504.3395999999993	Intermediate
HG02085	-2523.2105999999994	Intermediate
HG02086	-2516.4499	Intermediate
HG02087	-2514.7214999999997	Intermediate
HG02088	-2518.3307999999997	Intermediate
HG02089	-2502.6847	Intermediate
HG02090	-2484.4006999999997	Intermediate
HG02095	-2522.9318000000003	Intermediate
HG02102	-2480.3921	Intermediate
HG02104	-2501.386300000001	Intermediate
HG02105	-2486.9586999999997	Intermediate
HG02107	-2518.7423000000003	Intermediate
HG02108	-2512.1170999999995	Intermediate
HG02111	-2524.8692999999994	Intermediate
HG02113	-2528.3694	Low
HG02116	-2519.0397999999996	Intermediate
HG02121	-2525.4799000000003	Low
HG02122	-2528.0171999999993	Low
HG02127	-2525.8936	Low
HG02128	-2521.9011	Intermediate
HG02130	-2518.8151	Intermediate
HG02131	-2520.0754	Intermediate
HG02133	-2528.0223999999994	Low
HG02134	-2513.3976	Intermediate
HG02136	-2533.491699999999	Low
HG02137	-2522.3262999999997	Intermediate
HG02138	-2518.5930000000003	Intermediate
HG02139	-2505.2772000000004	Intermediate
HG02140	-2525.3626	Low
HG02141	-2505.9883000000004	Intermediate
HG02142	-2519.7985000000003	Intermediate
HG02143	-2533.6772	Low
HG02144	-2523.2745	Intermediate
HG02146	-2485.0568999999996	Intermediate
HG02147	-2497.0832	Intermediate
HG02150	-2485.9898000000003	Intermediate
HG02151	-2517.7448	Intermediate
HG02152	-2517.7695999999996	Intermediate
HG02153	-2520.3066	Intermediate
HG02154	-2519.5636999999997	Intermediate
HG02155	-2513.2623	Intermediate
HG02156	-2522.2637	Intermediate
HG02164	-2512.5500000000006	Intermediate
HG02165	-2522.9749999999995	Intermediate
HG02166	-2521.3851999999997	Intermediate
HG02178	-2519.5206	Intermediate
HG02179	-2519.0001	Intermediate
HG02180	-2514.9750999999997	Intermediate
HG02181	-2515.6344999999997	Intermediate
HG02182	-2520.1846	Intermediate
HG02184	-2514.6355999999996	Intermediate
HG02185	-2513.7147	Intermediate
HG02186	-2518.379899999999	Intermediate
HG02187	-2517.9129999999996	Intermediate
HG02188	-2516.6931000000004	Intermediate
HG02190	-2523.030299999999	Intermediate
HG02215	-2451.1260999999995	High
HG02219	-2466.06	High
HG02220	-2458.3683999999994	High
HG02221	-2449.5111	High
HG02223	-2470.1816000000003	High
HG02224	-2456.3401	High
HG02230	-2456.3158	High
HG02231	-2474.6564	Intermediate
HG02232	-2458.725	High
HG02233	-2468.6927	High
HG02235	-2470.0636000000004	High
HG02236	-2450.5033000000003	High
HG02238	-2473.2241000000004	Intermediate
HG02239	-2464.9599000000003	High
HG02250	-2529.4245000000005	Low
HG02252	-2480.9880999999996	Intermediate
HG02253	-2495.9985	Intermediate
HG02255	-2529.4088	Low
HG02256	-2508.019399999999	Intermediate
HG02259	-2505.4896999999996	Intermediate
HG02260	-2499.1258	Intermediate
HG02262	-2484.1279	Intermediate
HG02265	-2493.5606	Intermediate
HG02266	-2509.8038	Intermediate
HG02271	-2494.7101	Intermediate
HG02272	-2489.5669999999996	Intermediate
HG02274	-2509.7529999999997	Intermediate
HG02275	-2506.0179999999996	Intermediate
HG02277	-2474.9662999999996	Intermediate
HG02278	-2501.2282	Intermediate
HG02281	-2532.1985000000004	Low
HG02282	-2516.3161999999998	Intermediate
HG02283	-2514.0315	Intermediate
HG02284	-2514.6342999999997	Intermediate
HG02285	-2493.3536999999997	Intermediate
HG02286	-2480.0706	Intermediate
HG02291	-2507.6384999999996	Intermediate
HG02292	-2491.266499999999	Intermediate
HG02298	-2471.3716000000004	High
HG02299	-2490.5512	Intermediate
HG02301	-2487.9398	Intermediate
HG02304	-2494.3999999999996	Intermediate
HG02307	-2521.4554000000003	Intermediate
HG02308	-2516.6036	Intermediate
HG02309	-2522.6759000000006	Intermediate
HG02312	-2503.1073	Intermediate
HG02314	-2524.842399999999	Intermediate
HG02315	-2517.7402000000006	Intermediate
HG02317	-2521.837	Intermediate
HG02318	-2524.1362	Intermediate
HG02322	-2521.3057000000003	Intermediate
HG02323	-2524.9638	Intermediate
HG02325	-2533.0304	Low
HG02330	-2534.2695999999996	Low
HG02332	-2527.8396000000002	Low
HG02334	-2511.6321	Intermediate
HG02337	-2513.4833000000003	Intermediate
HG02339	-2532.532599999999	Low
HG02343	-2514.9441000000006	Intermediate
HG02345	-2500.1086999999998	Intermediate
HG02348	-2486.5700000000006	Intermediate
HG02351	-2520.9189	Intermediate
HG02353	-2522.8836999999994	Intermediate
HG02355	-2524.5814	Intermediate
HG02356	-2514.9127	Intermediate
HG02360	-2523.4957999999992	Intermediate
HG02364	-2523.899700000001	Intermediate
HG02367	-2516.536999999999	Intermediate
HG02371	-2518.4127	Intermediate
HG02373	-2514.6198999999997	Intermediate
HG02374	-2525.1349999999998	Intermediate
HG02375	-2514.363900000001	Intermediate
HG02379	-2509.4876	Intermediate
HG02380	-2518.5975	Intermediate
HG02382	-2525.7073000000005	Low
HG02383	-2534.1192	Low
HG02384	-2517.6696000000006	Intermediate
HG02385	-2529.9979000000003	Low
HG02386	-2521.457599999999	Intermediate
HG02389	-2521.1872	Intermediate
HG02390	-2522.5522	Intermediate
HG02391	-2517.1897999999997	Intermediate
HG02392	-2513.1082	Intermediate
HG02394	-2522.9734	Intermediate
HG02395	-2529.3902	Low
HG02396	-2519.6615	Intermediate
HG02397	-2518.0203	Intermediate
HG02398	-2515.1940000000004	Intermediate
HG02399	-2522.4346999999993	Intermediate
HG02401	-2521.4500000000003	Intermediate
HG02402	-2516.1394	Intermediate
HG02406	-2506.4425	Intermediate
HG02407	-2513.2401	Intermediate
HG02408	-2511.6589	Intermediate
HG02409	-2520.2729999999997	Intermediate
HG02410	-2531.767999999999	Low
HG02419	-2527.825799999999	Low
HG02420	-2498.9177	Intermediate
HG02425	-2501.3817000000004	Intermediate
HG02427	-2518.2497999999996	Intermediate
HG02429	-2527.0037	Low
HG02433	-2511.3591	Intermediate
HG02439	-2531.8004000000005	Low
HG02442	-2523.8208000000004	Intermediate
HG02445	-2516.3359000000005	Intermediate
HG02449	-2537.7271999999994	Low
HG02450	-2534.3894	Low
HG02455	-2510.4473999999996	Intermediate
HG02461	-2526.8499999999995	Low
HG02462	-2518.8795999999993	Intermediate
HG02464	-2528.6885999999995	Low
HG02465	-2523.5034	Intermediate
HG02470	-2534.1987	Low
HG02471	-2535.7431999999994	Low
HG02476	-2511.2607000000003	Intermediate
HG02477	-2524.3236	Intermediate
HG02479	-2516.0840000000003	Intermediate
HG02481	-2526.9414999999995	Low
HG02484	-2518.9422999999997	Intermediate
HG02485	-2505.2584000000006	Intermediate
HG02489	-2526.2855	Low
HG02490	-2479.377499999999	Intermediate
HG02491	-2492.1899	Intermediate
HG02493	-2513.7534	Intermediate
HG02494	-2491.262000000001	Intermediate
HG02496	-2531.2628999999997	Low
HG02497	-2526.656	Low
HG02501	-2516.7754	Intermediate
HG02502	-2517.3816	Intermediate
HG02505	-2525.6057	Low
HG02508	-2525.797	Low
HG02511	-2521.6399	Intermediate
HG02512	-2517.136	Intermediate
HG02513	-2515.6231	Intermediate
HG02521	-2516.4053999999996	Intermediate
HG02522	-2516.0537000000004	Intermediate
HG02536	-2506.9842000000003	Intermediate
HG02537	-2532.1739999999995	Low
HG02541	-2519.4017	Intermediate
HG02545	-2521.7078	Intermediate
HG02546	-2530.3747999999996	Low
HG02549	-2516.8509	Intermediate
HG02554	-2519.1204	Intermediate
HG02555	-2529.548	Low
HG02557	-2518.8202	Intermediate
HG02558	-2522.0034	Intermediate
HG02561	-2526.0178	Low
HG02562	-2528.4002	Low
HG02568	-2527.7355	Low
HG02570	-2528.2603000000004	Low
HG02571	-2528.4848	Low
HG02573	-2526.1317	Low
HG02574	-2514.1784	Intermediate
HG02577	-2512.6256000000003	Intermediate
HG02580	-2514.697400000001	Intermediate
HG02582	-2536.9626	Low
HG02583	-2527.0623	Low
HG02585	-2527.9874	Low
HG02586	-2529.5145	Low
HG02588	-2528.0163	Low
HG02589	-2532.2382000000002	Low
HG02594	-2530.8512999999994	Low
HG02595	-2532.1659	Low
HG02597	-2482.6411000000007	Intermediate
HG02600	-2500.7938000000004	Intermediate
HG02601	-2487.2254000000003	Intermediate
HG02603	-2491.402	Intermediate
HG02604	-2496.2206	Intermediate
HG02610	-2537.9222999999993	Low
HG02611	-2522.3823	Intermediate
HG02613	-2525.1626	Low
HG02614	-2514.9400999999993	Intermediate
HG02620	-2519.7582	Intermediate
HG02621	-2535.8183999999997	Low
HG02623	-2523.6551	Intermediate
HG02624	-2530.1097999999997	Low
HG02628	-2522.409000000001	Intermediate
HG02629	-2521.4653000000003	Intermediate
HG02634	-2528.4790000000003	Low
HG02635	-2527.0337	Low
HG02642	-2516.4631999999997	Intermediate
HG02643	-2527.8569	Low
HG02645	-2528.8863999999994	Low
HG02646	-2542.5527999999995	Low
HG02648	-2498.1245000000004	Intermediate
HG02649	-2480.1711999999993	Intermediate
HG02651	-2473.1529	Intermediate
HG02652	-2490.1009999999997	Intermediate
HG02654	-2501.9904000000006	Intermediate
HG02655	-2493.8733	Intermediate
HG02657	-2493.8474999999994	Intermediate
HG02658	-2481.1991000000007	Intermediate
HG02660	-2496.8441	Intermediate
HG02661	-2498.0641	Intermediate
HG02666	-2536.1861	Low
HG02667	-2523.8433000000005	Intermediate
HG02675	-2533.2691	Low
HG02676	-2523.8883	Intermediate
HG02678	-2529.2896	Low
HG02679	-2522.8619999999996	Intermediate
HG02681	-2497.117	Intermediate
HG02682	-2496.1725999999994	Intermediate
HG02684	-2501.4983	Intermediate
HG02685	-2501.2436000000002	Intermediate
HG02687	-2500.2158999999992	Intermediate
HG02688	-2498.6220000000003	Intermediate
HG02690	-2494.7638999999995	Intermediate
HG02691	-2482.5646	Intermediate
HG02694	-2494.7056000000002	Intermediate
HG02696	-2474.0909999999994	Intermediate
HG02697	-2500.4532	Intermediate
HG02699	-2494.3111	Intermediate
HG02700	-2503.7802000000006	Intermediate
HG02702	-2522.9679000000006	Intermediate
HG02703	-2531.9154999999996	Low
HG02715	-2525.7658	Low
HG02716	-2522.6115	Intermediate
HG02721	-2531.3959	Low
HG02722	-2532.3026000000004	Low
HG02724	-2486.9822000000004	Intermediate
HG02725	-2486.019099999999	Intermediate
HG02727	-2503.4692999999993	Intermediate
HG02728	-2502.5611	Intermediate
HG02731	-2471.3021999999996	High
HG02733	-2494.3603	Intermediate
HG02734	-2477.9640999999992	Intermediate
HG02736	-2474.153	Intermediate
HG02737	-2491.2401000000004	Intermediate
HG02756	-2538.9575	Low
HG02757	-2524.0903999999996	Intermediate
HG02759	-2530.9809999999998	Low
HG02760	-2518.3287	Intermediate
HG02763	-2530.892699999999	Low
HG02768	-2525.0586	Intermediate
HG02769	-2531.5978	Low
HG02771	-2535.3022000000005	Low
HG02772	-2527.9860000000003	Low
HG02774	-2490.9687000000004	Intermediate
HG02775	-2485.3656	Intermediate
HG02778	-2491.9825999999994	Intermediate
HG02780	-2500.4912000000004	Intermediate
HG02783	-2511.1349	Intermediate
HG02784	-2497.9258000000004	Intermediate
HG02786	-2520.699500000001	Intermediate
HG02787	-2485.0011	Intermediate
HG02789	-2508.0544999999997	Intermediate
HG02790	-2496.5285	Intermediate
HG02792	-2503.5596	Intermediate
HG02793	-2502.9469	Intermediate
HG02798	-2526.4021000000002	Low
HG02799	-2529.091000000001	Low
HG02804	-2527.617300000001	Low
HG02805	-2531.6578	Low
HG02807	-2522.7743999999993	Intermediate
HG02808	-2522.0193	Intermediate
HG02810	-2521.7574999999997	Intermediate
HG02811	-2521.1982	Intermediate
HG02813	-2539.838800000001	Low
HG02814	-2521.3754	Intermediate
HG02816	-2533.6468999999993	Low
HG02817	-2532.6445999999996	Low
HG02819	-2522.2985	Intermediate
HG02820	-2535.0184000000004	Low
HG02836	-2525.1389999999997	Intermediate
HG02837	-2523.5880999999995	Intermediate
HG02839	-2523.4565000000002	Intermediate
HG02840	-2528.5993000000003	Low
HG02851	-2522.7056000000002	Intermediate
HG02852	-2534.1007000000004	Low
HG02854	-2521.298299999999	Intermediate
HG02855	-2523.2133999999996	Intermediate
HG02860	-2526.7534	Low
HG02861	-2531.4959999999996	Low
HG02870	-2521.5364999999993	Intermediate
HG02878	-2529.6011000000008	Low
HG02879	-2536.5757000000003	Low
HG02881	-2520.5955000000004	Intermediate
HG02882	-2524.1744000000003	Intermediate
HG02884	-2521.8986	Intermediate
HG02885	-2537.321900000001	Low
HG02887	-2530.5149999999994	Low
HG02888	-2526.4046	Low
HG02890	-2530.0442000000003	Low
HG02891	-2536.9782	Low
HG02895	-2536.4323999999997	Low
HG02896	-2526.1936000000005	Low
HG02922	-2532.273399999999	Low
HG02923	-2534.8658000000005	Low
HG02938	-2533.7397	Low
HG02941	-2530.0685	Low
HG02943	-2531.5772000000006	Low
HG02944	-2528.2839999999997	Low
HG02946	-2529.1334	Low
HG02947	-2523.5391999999993	Intermediate
HG02952	-2538.2557	Low
HG02953	-2542.9766000000004	Low
HG02968	-2531.5681000000004	Low
HG02970	-2535.2655	Low
HG02971	-2545.7871000000005	Low
HG02973	-2529.2287	Low
HG02974	-2526.8754000000004	Low
HG02976	-2531.0224	Low
HG02977	-2540.4604	Low
HG02979	-2526.5535	Low
HG02981	-2528.9309000000003	Low
HG02982	-2539.298799999999	Low
HG02983	-2530.7301000000007	Low
HG03006	-2502.2624	Intermediate
HG03007	-2497.4812	Intermediate
HG03009	-2512.9971	Intermediate
HG03012	-2497.0176000000006	Intermediate
HG03015	-2491.5742999999998	Intermediate
HG03016	-2506.2226000000005	Intermediate
HG03018	-2496.0180999999993	Intermediate
HG03019	-2500.068199999999	Intermediate
HG03021	-2505.2684	Intermediate
HG03022	-2493.1041999999993	Intermediate
HG03024	-2531.4314999999992	Low
HG03025	-2522.8496	Intermediate
HG03027	-2535.4118	Low
HG03028	-2533.472499999999	Low
HG03039	-2529.814599999999	Low
HG03040	-2521.3287	Intermediate
HG03045	-2525.5111000000006	Low
HG03046	-2529.2725	Low
HG03048	-2533.28	Low
HG03049	-2530.0959	Low
HG03052	-2529.2355999999995	Low
HG03054	-2532.2502999999997	Low
HG03055	-2529.7772	Low
HG03057	-2528.8046	Low
HG03058	-2523.8966000000005	Intermediate
HG03060	-2522.8993	Intermediate
HG03061	-2527.5289000000002	Low
HG03063	-2532.5040000000004	Low
HG03064	-2521.6996999999997	Intermediate
HG03066	-2532.2473000000005	Low
HG03069	-2523.9792	Intermediate
HG03072	-2526.5806	Low
HG03073	-2529.9752	Low
HG03074	-2538.1804999999995	Low
HG03077	-2529.0364999999997	Low
HG03078	-2533.6166999999996	Low
HG03079	-2525.0040999999997	Intermediate
HG03081	-2535.5084	Low
HG03082	-2544.3031	Low
HG03084	-2525.7314000000006	Low
HG03085	-2521.3851999999997	Intermediate
HG03086	-2520.1559999999995	Intermediate
HG03088	-2527.6168	Low
HG03091	-2529.1961000000006	Low
HG03095	-2531.6921000000007	Low
HG03096	-2522.8046000000004	Intermediate
HG03097	-2533.9010999999996	Low
HG03099	-2530.2771999999995	Low
HG03100	-2525.7475	Low
HG03103	-2524.5532999999996	Intermediate
HG03105	-2543.0854999999992	Low
HG03108	-2527.5832	Low
HG03109	-2532.1637	Low
HG03111	-2534.7555999999995	Low
HG03112	-2532.0918000000006	Low
HG03114	-2526.3307	Low
HG03115	-2529.0997999999995	Low
HG03117	-2528.1308000000004	Low
HG03118	-2534.3523999999998	Low
HG03120	-2532.7777999999994	Low
HG03121	-2529.8635000000004	Low
HG03123	-2527.5567	Low
HG03124	-2534.4016000000006	Low
HG03126	-2528.313	Low
HG03127	-2533.3826999999997	Low
HG03129	-2533.8992000000003	Low
HG03130	-2533.2487	Low
HG03132	-2528.3938999999996	Low
HG03133	-2531.897	Low
HG03135	-2533.3266	Low
HG03136	-2523.4366000000005	Intermediate
HG03139	-2532.3424	Low
HG03157	-2536.7778000000003	Low
HG03159	-2535.4988000000003	Low
HG03160	-2543.1791	Low
HG03162	-2522.6255	Intermediate
HG03163	-2528.0289999999995	Low
HG03166	-2533.5284	Low
HG03168	-2526.7585000000004	Low
HG03169	-2532.7653	Low
HG03172	-2533.7081999999996	Low
HG03175	-2533.6516	Low
HG03189	-2537.4227000000005	Low
HG03190	-2535.9381000000003	Low
HG03193	-2525.3218999999995	Low
HG03195	-2529.4028000000003	Low
HG03196	-2536.0576	Low
HG03198	-2527.9783	Low
HG03199	-2531.545400000001	Low
HG03202	-2531.9623	Low
HG03209	-2534.6152999999995	Low
HG03212	-2539.6945999999994	Low
HG03224	-2534.3142	Low
HG03225	-2537.2224	Low
HG03228	-2487.7595000000006	Intermediate
HG03229	-2496.9950999999996	Intermediate
HG03234	-2495.8197	Intermediate
HG03235	-2483.1732000000006	Intermediate
HG03237	-2496.3851000000004	Intermediate
HG03238	-2479.7924999999996	Intermediate
HG03240	-2536.291	Low
HG03241	-2532.5276999999996	Low
HG03246	-2527.9469000000004	Low
HG03247	-2529.6884000000005	Low
HG03258	-2526.7653999999998	Low
HG03259	-2528.8351000000002	Low
HG03265	-2531.8453	Low
HG03267	-2527.3467000000005	Low
HG03268	-2526.9411000000005	Low
HG03270	-2539.5088000000005	Low
HG03271	-2539.486099999999	Low
HG03279	-2533.4625000000005	Low
HG03280	-2523.6193	Intermediate
HG03291	-2528.7448000000004	Low
HG03294	-2531.8307	Low
HG03295	-2539.2370999999994	Low
HG03297	-2540.0059	Low
HG03298	-2533.219900000001	Low
HG03300	-2530.0199	Low
HG03301	-2533.3037999999997	Low
HG03303	-2534.417199999999	Low
HG03304	-2535.081399999999	Low
HG03311	-2530.0334000000007	Low
HG03313	-2525.5893000000005	Low
HG03342	-2533.4813999999997	Low
HG03343	-2531.8014999999996	Low
HG03351	-2522.771399999999	Intermediate
HG03352	-2528.4064	Low
HG03354	-2533.8493000000003	Low
HG03363	-2527.1374000000005	Low
HG03366	-2530.7138999999997	Low
HG03367	-2534.723	Low
HG03369	-2522.2957	Intermediate
HG03370	-2537.2009	Low
HG03372	-2526.4491000000007	Low
HG03376	-2540.6978	Low
HG03378	-2530.723599999999	Low
HG03380	-2522.6434999999997	Intermediate
HG03382	-2538.0121	Low
HG03385	-2538.2488	Low
HG03388	-2529.8399	Low
HG03391	-2533.0117000000005	Low
HG03394	-2524.9923999999996	Intermediate
HG03397	-2529.4295999999995	Low
HG03401	-2530.055	Low
HG03410	-2527.1932999999995	Low
HG03419	-2533.6496	Low
HG03428	-2527.6342999999997	Low
HG03432	-2529.9889000000003	Low
HG03433	-2531.2737	Low
HG03436	-2537.1564000000003	Low
HG03437	-2523.8370999999997	Intermediate
HG03439	-2522.957099999999	Intermediate
HG03442	-2537.2094999999995	Low
HG03445	-2530.3369	Low
HG03446	-2524.9099999999994	Intermediate
HG03449	-2539.1415000000006	Low
HG03451	-2528.9924	Low
HG03452	-2523.4948000000004	Intermediate
HG03455	-2536.0419	Low
HG03457	-2525.0584000000003	Intermediate
HG03458	-2538.8818	Low
HG03460	-2527.169899999999	Low
HG03461	-2527.6507999999994	Low
HG03464	-2521.9964000000004	Intermediate
HG03469	-2533.631299999999	Low
HG03470	-2528.0625	Low
HG03472	-2527.5220999999997	Low
HG03473	-2536.2809	Low
HG03476	-2529.4348999999997	Low
HG03478	-2537.3337	Low
HG03479	-2530.1558999999993	Low
HG03484	-2532.5786	Low
HG03485	-2524.0844999999995	Intermediate
HG03488	-2496.3952	Intermediate
HG03490	-2481.148	Intermediate
HG03491	-2495.7824999999993	Intermediate
HG03499	-2535.9988999999996	Low
HG03511	-2539.4979	Low
HG03514	-2526.7387999999996	Low
HG03515	-2537.596	Low
HG03517	-2532.3228	Low
HG03518	-2540.2358	Low
HG03520	-2532.961500000001	Low
HG03521	-2523.2601999999997	Intermediate
HG03538	-2528.1572	Low
HG03539	-2527.3848	Low
HG03547	-2529.1504000000004	Low
HG03548	-2528.5279999999993	Low
HG03556	-2536.4351	Low
HG03557	-2531.9011000000005	Low
HG03558	-2524.2868	Intermediate
HG03559	-2528.2938999999988	Low
HG03563	-2527.8247	Low
HG03565	-2538.0419	Low
HG03567	-2524.7699000000007	Intermediate
HG03571	-2531.6134	Low
HG03572	-2524.7368	Intermediate
HG03575	-2537.5910999999996	Low
HG03577	-2526.8396000000007	Low
HG03578	-2538.1035	Low
HG03583	-2531.7989999999995	Low
HG03585	-2490.3474	Intermediate
HG03589	-2509.8333999999995	Intermediate
HG03593	-2482.3676	Intermediate
HG03594	-2502.7883999999995	Intermediate
HG03595	-2510.4062	Intermediate
HG03598	-2506.0071999999996	Intermediate
HG03600	-2515.5944000000004	Intermediate
HG03603	-2508.3632000000002	Intermediate
HG03604	-2519.7028999999998	Intermediate
HG03607	-2499.0525000000002	Intermediate
HG03611	-2493.9106	Intermediate
HG03615	-2498.4265	Intermediate
HG03616	-2497.443499999999	Intermediate
HG03619	-2483.4387	Intermediate
HG03624	-2489.5042000000003	Intermediate
HG03625	-2488.4306000000006	Intermediate
HG03629	-2515.0570000000002	Intermediate
HG03631	-2492.2089	Intermediate
HG03634	-2505.3660999999997	Intermediate
HG03636	-2474.6764000000007	Intermediate
HG03640	-2494.6157000000003	Intermediate
HG03642	-2499.5918000000006	Intermediate
HG03643	-2493.4062	Intermediate
HG03644	-2499.9839	Intermediate
HG03645	-2496.8445999999994	Intermediate
HG03646	-2497.3515	Intermediate
HG03649	-2502.1828	Intermediate
HG03652	-2505.2651000000005	Intermediate
HG03653	-2483.2505000000006	Intermediate
HG03660	-2494.6841	Intermediate
HG03663	-2496.2167000000004	Intermediate
HG03667	-2506.6979	Intermediate
HG03668	-2494.3342	Intermediate
HG03672	-2504.7431	Intermediate
HG03673	-2498.3900999999996	Intermediate
HG03679	-2494.6772	Intermediate
HG03680	-2507.941499999999	Intermediate
HG03681	-2496.610099999999	Intermediate
HG03684	-2496.3110000000006	Intermediate
HG03685	-2522.5543000000002	Intermediate
HG03686	-2510.7365	Intermediate
HG03687	-2510.0535	Intermediate
HG03689	-2498.9537	Intermediate
HG03690	-2493.6631000000007	Intermediate
HG03691	-2509.8172	Intermediate
HG03692	-2505.1195000000007	Intermediate
HG03693	-2518.4934000000003	Intermediate
HG03694	-2487.3907	Intermediate
HG03695	-2502.1046999999994	Intermediate
HG03696	-2489.5643000000005	Intermediate
HG03697	-2502.4740000000006	Intermediate
HG03698	-2494.0742000000005	Intermediate
HG03702	-2501.4784999999997	Intermediate
HG03703	-2493.1464999999994	Intermediate
HG03705	-2499.8261999999995	Intermediate
HG03706	-2504.1083	Intermediate
HG03708	-2477.3098000000005	Intermediate
HG03709	-2510.212	Intermediate
HG03711	-2496.8412000000003	Intermediate
HG03713	-2499.1004	Intermediate
HG03714	-2498.3278000000005	Intermediate
HG03716	-2495.9956000000006	Intermediate
HG03717	-2509.3958000000007	Intermediate
HG03718	-2502.4966000000004	Intermediate
HG03720	-2522.4982000000005	Intermediate
HG03722	-2514.3215	Intermediate
HG03727	-2506.6371	Intermediate
HG03729	-2505.0846	Intermediate
HG03730	-2514.1158	Intermediate
HG03731	-2501.0197	Intermediate
HG03733	-2510.8475	Intermediate
HG03736	-2508.2484999999997	Intermediate
HG03738	-2515.4214999999995	Intermediate
HG03740	-2507.3152000000005	Intermediate
HG03741	-2508.9595000000004	Intermediate
HG03742	-2509.1426000000006	Intermediate
HG03743	-2505.7803999999996	Intermediate
HG03744	-2500.7103000000006	Intermediate
HG03745	-2508.7676	Intermediate
HG03746	-2481.5596000000005	Intermediate
HG03750	-2502.9849999999997	Intermediate
HG03752	-2493.3874	Intermediate
HG03753	-2497.2410000000004	Intermediate
HG03754	-2502.1513999999997	Intermediate
HG03755	-2513.0599999999995	Intermediate
HG03756	-2516.2809999999995	Intermediate
HG03757	-2504.6905	Intermediate
HG03760	-2511.4371	Intermediate
HG03762	-2515.5071000000003	Intermediate
HG03765	-2468.2886000000003	High
HG03767	-2486.0901	Intermediate
HG03770	-2518.189	Intermediate
HG03771	-2507.395	Intermediate
HG03772	-2511.3521000000005	Intermediate
HG03773	-2500.9289999999996	Intermediate
HG03774	-2471.5099000000005	High
HG03775	-2496.6747	Intermediate
HG03777	-2512.5044999999996	Intermediate
HG03778	-2508.4087999999992	Intermediate
HG03779	-2513.2635	Intermediate
HG03780	-2508.1553999999996	Intermediate
HG03781	-2512.2279000000003	Intermediate
HG03782	-2504.7034999999996	Intermediate
HG03784	-2511.7023	Intermediate
HG03785	-2501.4043	Intermediate
HG03786	-2511.6561000000006	Intermediate
HG03787	-2521.6709000000005	Intermediate
HG03788	-2506.4892	Intermediate
HG03789	-2491.7435000000005	Intermediate
HG03790	-2514.6754	Intermediate
HG03792	-2507.3066	Intermediate
HG03793	-2502.2779	Intermediate
HG03796	-2493.6159	Intermediate
HG03800	-2503.5431999999996	Intermediate
HG03802	-2519.1668	Intermediate
HG03803	-2516.4218000000005	Intermediate
HG03805	-2501.1272999999997	Intermediate
HG03808	-2499.1421	Intermediate
HG03809	-2497.9638999999997	Intermediate
HG03812	-2506.3325	Intermediate
HG03814	-2504.5446	Intermediate
HG03815	-2493.8870999999995	Intermediate
HG03817	-2523.3233	Intermediate
HG03821	-2518.4215	Intermediate
HG03823	-2496.0771	Intermediate
HG03824	-2501.2661	Intermediate
HG03826	-2495.1867999999995	Intermediate
HG03829	-2496.109699999999	Intermediate
HG03830	-2500.0937999999996	Intermediate
HG03832	-2511.4964	Intermediate
HG03833	-2511.7389999999996	Intermediate
HG03836	-2487.3645999999994	Intermediate
HG03837	-2503.822899999999	Intermediate
HG03838	-2504.3161999999998	Intermediate
HG03844	-2499.1526000000003	Intermediate
HG03846	-2490.0487000000007	Intermediate
HG03848	-2507.5861	Intermediate
HG03849	-2505.6608	Intermediate
HG03850	-2499.7723000000005	Intermediate
HG03851	-2507.5488	Intermediate
HG03854	-2505.3284	Intermediate
HG03856	-2501.5607000000005	Intermediate
HG03857	-2495.3360999999995	Intermediate
HG03858	-2506.9161	Intermediate
HG03861	-2509.8180000000007	Intermediate
HG03862	-2512.3727000000003	Intermediate
HG03863	-2502.516	Intermediate
HG03864	-2496.6327	Intermediate
HG03866	-2515.6515	Intermediate
HG03867	-2506.4595000000004	Intermediate
HG03868	-2499.2635	Intermediate
HG03869	-2503.4681	Intermediate
HG03870	-2501.0591	Intermediate
HG03871	-2506.8626000000004	Intermediate
HG03872	-2506.6093	Intermediate
HG03873	-2470.2608000000005	High
HG03874	-2495.810200000001	Intermediate
HG03875	-2485.7816	Intermediate
HG03882	-2491.9165999999996	Intermediate
HG03884	-2506.0684999999994	Intermediate
HG03885	-2504.4255	Intermediate
HG03886	-2486.4305999999997	Intermediate
HG03887	-2503.6983000000005	Intermediate
HG03888	-2497.4051999999997	Intermediate
HG03890	-2502.3842999999997	Intermediate
HG03894	-2509.0334	Intermediate
HG03895	-2504.4114999999997	Intermediate
HG03896	-2498.3248000000012	Intermediate
HG03897	-2497.7039	Intermediate
HG03898	-2508.8626	Intermediate
HG03899	-2514.8911999999996	Intermediate
HG03900	-2506.9249	Intermediate
HG03902	-2485.9183999999996	Intermediate
HG03905	-2515.3024	Intermediate
HG03907	-2496.7805	Intermediate
HG03908	-2495.1308999999997	Intermediate
HG03910	-2497.174	Intermediate
HG03911	-2505.3738	Intermediate
HG03913	-2499.5997999999995	Intermediate
HG03914	-2499.0625	Intermediate
HG03916	-2492.6490000000003	Intermediate
HG03917	-2507.0283	Intermediate
HG03919	-2506.4707999999996	Intermediate
HG03920	-2496.337599999999	Intermediate
HG03922	-2507.4289000000003	Intermediate
HG03925	-2509.9921999999997	Intermediate
